Id,Nombre,Precio,FechaCreacion,MarcaId,CategoriaId
1,d'Addario EJ27N Cuerda Guitarra Acústica,200,01/01/2022,1,1
2,Dunlop 11F - Cejilla de palanca avanzada,200,01/01/2022,2,1
3,On-Stage Stands Classic XCG-4 Guitar Stand - 2-pack,600,01/01/2022,3,1
4,Yamaha F335 Acoustic Guitar Black,4000,01/01/2022,4,2
5,Squier Limited-Edition Bullet Telecaster Electric Guitar Lake Placid Blue,5000,01/01/2022,5,3
6,Dunlop PVP101 Guitar Pick Variety Pack - Light/Medium,100,01/01/2022,2,1
7,Yamaha F335 Acoustic Guitar Tobacco Brown Sunburst,4000,01/01/2022,4,2
8,Yamaha F335 Acoustic Guitar Natural,3500,01/01/2022,4,2
9,Gibson Les Paul Traditional Pro V Flame Top Electric Guitar Washed Cherry Burst,57799,01/01/2022,6,3
10,Gibson Les Paul Traditional Pro V Satin Electric Guitar Satin Wine Red,39660,01/01/2022,6,3
11,Open Box Gibson Generation Collection G-200 EC Acoustic-Electric Guitar Level 1 Natural,38780,01/01/2022,6,2
12,Open Box Gibson L-00 Studio Rosewood Acoustic-Electric Guitar Level 1 Antique Natural,43500,01/01/2022,6,2
13,Gibson Slash Les Paul Standard Electric Guitar November Burst,67000,01/01/2022,6,3
14,Open Box Gibson Generation Collection G-45 Acoustic Guitar Level 2 Natural 194744499005,22000,01/01/2022,6,2
15,Open Box Gibson Les Paul Junior Electric Guitar Level 2 Vintage Tobacco 194744639760,28200,01/01/2022,6,3
16,Open Box Gibson Les Paul Deluxe '70s Electric Guitar Level 2 Cherry Sunburst 194744626517,48000,01/01/2022,6,3
17,Open Box B.C. Rich Mockingbird Legacy ST with Floyd Rose Electric Guitar Level 1 Black Burst,27200,01/01/2022,7,3
18,Open Box B.C. Rich Shredzilla Extreme Electric Guitar Level 1 Black Satin,29200,01/01/2022,7,3
19,Williams Overture III Digital Piano Ebony,21000,01/01/2022,8,4
20,Williams Symphony Grand II Digital Micro Grand Piano With Bench Black 88 Key,42000,01/01/2022,8,4
21,Williams Rhapsody III Digital Piano With Bluetooth Ebony,15000,01/01/2022,8,4
22,Williams Symphony Concert Digital Grand With Touchscreen and Bench Ebony 88 Key,60000,01/01/2022,8,4
23,Yamaha P-125 Digital Piano White 88 Key,15500,01/01/2022,4,4
24,Yamaha F335 Acoustic Guitar Tobacco Brown Sunburst,3500,01/01/2022,4,2
25,Yamaha DGX-670 88-Key Portable Grand Black,20000,01/01/2022,4,4
26,Yamaha MODX8 88-Key Synthesizer,45000,01/01/2022,4,5
27,Yamaha Arius YDP-144 Digital Console Piano Rosewood,27000,01/01/2022,4,4
